Sentence,Type
"চোখ ভিজে গেল।  অনবদ্য দলিল,  কম্পোজ করেছেন যাঁরা তাদের প্রতি কৃতজ্ঞতা।  কোন ফিলহারমনিক অর্কেস্ট্রা করেছেন জানলে খুশি হতাম",No
"জন্ম মাগো তোমার তরে তোমার কোলেই ঠাই,,, ভালবাসি এই সোনার বাংলা যার কূল কিনারা নাই",No
আমার বাংলা আমার গর্ব...,No
দারুণ! শুভ কামনা সকল কলাকুশলীদের।,No
কিছুক্ষণের জন্য বিদেশী হয়ে যেতে পারলে ভালো হতো। পরীক্ষা করে দেখতে পারতাম বাংলা বা বাংলাদেশ না চিনেও এই মিউজিক শুনলে শরীরের ভেতর এমন ফিল হয় কিনা।  মনে হয় তাও হতো...,No
দেশেল সরকার যেই হোক দেশটা এগিয়ে নিয়ে যেতে সবচেয়ে বেশি প্রয়োজন সকল নাগরিকের অফুরন্ত দেশপ্রেম আর দেশের প্রতি প্রত্যেকটি দায়িত্ব সঠিক ভাবে পালন করা। আসুন আমরা দেশকে ভালোবাসি দেশের উন্নয়নে সহযোগীতা করি,No
"ভায়ের মায়ের এত স্নেহ কোথায় গেলে পাবে কেহ, ওমা তোমার চরণ দুটি বক্ষে আমার ধরি, আমার এই দেশেতে জন্ম যেন এই দেশেতে মরি।",No
"আমার সোনার বাংলা, আমি তোমায় ভালোবাসি। লাইন বলতেই চোখ দিয়ে আপনাআপনিই পানিই পড়ে যায়",No
খুবই ভালো লেগেছে। তবে কপিরাইট ফ্রি থাকলে ভালো হতো। আপনাদের ক্রেডিট দিয়ে নৃত্য পরিচালনা কভার করতে পারত। সর্বোপরি টিমের সকলের জন্য শুভকামনা। ,No
"অসংখ্য, অসংখ্য, অসংখ্য ধন্যবাদ।",No
অনেক ধন্যবাদ। আপনি আমার পছন্দের একজন মানুষ।,No
আমার সোনার বাংলা আমি তোমায় ভালোবাসি। বড় বেশি ভালোবাসি মা তোমায়। জাতীয় সংগীত শুনলে আমার গায়ের পশম সব দাঁড়িয়ে যায়। তাই যে ভার্শন হোক না কেনো।,No
"অসাধারণ, অনবদ্য সিনেমাটোগ্রাফি।পুরো উপস্থাপন টাই অসাধারণ।",No
"ওমা, অগ্রাণে তোর ভরা ক্ষেতে কি দেখেছি? আমি কি দেখেছি? মধুর হাসি  সোনার বাংলা আমি তোমায় ভালোবাসি",No
"এই লাল সবুজ ই আমাদের বার বার গর্বিত করে যাবে। হ্যা,আমরা বাংলাদেশি এবং এইটাই আমাদের পরিচয়!",No
চোখে পানি চলে আসে।এই অপরুপ দৃশ্য দেখে। কারণ আমি একজন প্রবাসী ,No
হৃদয় ছুয়ে চোখ ভিজে গেলো জলে ।কারন আমাদের সবার হৃদয়ে বাংলাদেশ ।,No
যতই বলি না কেন বাংলাদেশ দুর্নিতির দেশ দিন শেসে আমার এখানেই ঠাই।এই ভিডিও টি দেখার পরে কখন দেশের প্রতি মায়ার কারনে চোখ দিয়ে জল পরে গেল বুঝতে পারলাম না,No
এই বাংলায় যেন বারে বারে ফিরে আসি,No
স্কুলের দিন গুলোর শুরুতে মাঠে পিটি তে দাড়িয়ে প্রাণপণ দিয়ে গাইতাম গানটা।তখন থেকেই তার প্রতিটি লাইন অনুভব করার চেষ্টা করতাম।এখনও করি।পুরানো লাগেনি কখনো।সুরটা শুনলে কেমন জানি মায়া হয়।সত্যি দেশটার জন্য বড্ড মায়া হয় ।,No
কি বলবো বলার ভাষা খুজে পাচ্ছি না নিজের ওযানতেই মুখ দিয়ে বের হচ্ছে  আমার সোনার বাংলা আমি তোমায় ভালোবাসি,No
"আমার সোনার বাংলা, আমি তোমায় ভালোবাসি.....  একটা সময়ে স্কুলে প্রতিদিনই গাইতে হতো, তখন বিরক্তি ধরে যেতো, কখনোই ঠিকমতো গাইতাম না।  সেই সময়ের পরে প্রায় ১০ বছর কেটে গেছে, এখন গানটা যেন প্রানের সাথে মিশে গেছে, যতবারই শুনি কখনও মন ভরে না।  আমার জীবনে সবচেয়ে বেশিবার গাওয়া এবং শোনা সংগীত এই জাতীয় সংগীত। গানের প্রতিটি কথায় মিশে আছে বাংলার রূপ, সৌন্দর্য সাথে আগেকার বাংলার রূপ। একটা সময়ে গাইতাম না, আর এখন ইচ্ছে হলেও উচ্চস্বরে গাইতে পারি না। ইচ্ছে করে আবার সেই স্কুলে ফিরে যাই, আর প্রতিটা সকাল শুরু করি সম্মিলিত সুরে ""আমার সোনার বাংলা, আমি তোমায় ভালোবাসি"" বলে।",No
"অসংখ্য, অসংখ্য, অসংখ্য ধন্যবাদ। শুনতে শুনতে চোখ ভিজে উঠলো।",No
"ইলিশ বা সুন্দরবনের দৃশ্য  রাখলে আরো সুন্দর হতো, সাথে সিলেটের চা বাগান বা সিলেটের আরো কিছু প্রাকৃতিক দৃশ্য। তারপর ধন্যবাদ অনেক সুন্দর হয়েছে",No
"আমার দেশ , আমার অস্তিত্ব,  আমার ভালোবাসা ।",No
"ভালোবাসি বাংলাদেশ.আমার মাতৃভূমি,আমার জন্মভূমি",No
বাংলাদেশের জাতীয় সংগীতের প্রথম মানসম্মত অর্কেস্ট্রা ভার্সন।  ভালোবাসা হৃদয়ের গহ্বর হতে।,No
অনবদ্য সৃষ্টি,No
সত্যি এ দেশে জন্ম নিয়ে নিজেকে ধন্য মনে হচ্ছে..  আমি ধন্য...,No
"অসাধারণ!!! শরীরে শিহরণ জেগে উঠল! চোখে পানি চলে এসেছে! এতো সুন্দর কম্পোজিশন! এতো সুন্দর ফটোগ্রাফি, এডিটিং। সব মিলিয়ে কোয়ালিটি সম্পন্ন একটা কাজ। গর্ব বোধ করি এমন কাজের সাথে যারা আছেন তাদের জন্য। কৃতজ্ঞতা আর ভালোবাসা আপনাদের জন্য",No
"সত্যিই অসাধারণ, যতই শুনি ততই ভালো লাগে, আরও শুনতে মন চায়। অসংখ্য ধন্যবাদ।",No
আমার সোনার বাংলা আমি তোমায় ভালোবাসি!আজীবন ভালোবেসে যাবো!  পৃথিবীর যেই প্রান্তেই থাকি না কেন এই জন্মভূমির টানে বারবার ফিরে আসবো,No
এই একটা সুর যখনই শুনি  ভালো লাগায় শরীর মন কেমন যেন এক মায়াবী মুগ্ধতায় হারিয়ে যাই...অসাধারন সুন্দর.,No
"সত্যিই অসম্ভব সুন্দর ছিল..!!!! জাতীয় সঙ্গীত আমার সবসময়ই ভাল লাগার একটা সঙ্গীত..!! যদিও স্কুল জীবনে অনেক ভাবে গেয়েছিলাম (বিভিন্ন বন্ধুর নামে, গাছ, পশু পাখি এসবের নাম আনতান গাওয়ার সময় তবে সেটা মজার ছলে ছিল).....!! আর ভিডিওর দৃশ্য গুলো অসাধারণ ছিল..!!!! কথা গুলোর সাথে অনেক মিল ছিল ভিডিও দৃশ্যগুলো..!! অনেক অনেক ধন্যবাদ আপনাকে..!!",No
অসাধারন ভাল হয়েছে। শরীরে কাটা দেয়া অনুভুতি পাই আমার দেশের জাতীয় সংগীতে,No
এই বাংলা নিয়ে অভিযোগের অন্ত নেই..! কিন্তু দিনশেষে এই বাংলাতেই আমার ঠাই।শরীরের লোম গুলো কেমন যেন শিউরে ওঠছে।  কতটা সুন্দর আর সুমধুর হয়েছে তা যেন বলে বুঝানো একেবারেই সম্বব না।,No
"তুমি যে সুরের আগুন লাগিয়ে দিলে মোর প্রানে, এ আগুন ছড়িয়ে গেলো সব খানে......",No
বাংলাদেশটা আসলেই সোনার,No
শরীরের লোম গুলা জাষ্ট দাড়িয়ে গেল ,No
যারা দেশ স্বাধীন করেছে তারা জানে স্বাধীনতা কী জিনিস।। কিছু রাজাকার আছে অন্য দেশে পা চাটে।। দেশ কে ভালবাসো। এই স্বাধীনতা সম্মান করতে শিখো।,No
এর চেয়ে সুন্দর জাতীয় সঙ্গীত হয় নাকি! এক পিস্ই,No
অনেক বেশি এগিয়ে যাক আমাদের সোনার বাংলা। বিশ্ব দরবারে এক উজ্জ্বল তারকা হয়ে উঠুক আমাদের সবার প্রাণের বাংলাদেশ,No
ভালোবাসি প্রিয় জন্মভূমি বাংলাদেশ,No
"এগিয়ে যাও আমার বাংলাদেশ,বিশ্বের বুকে মাথা তুলে দাঁড়াও ",No
"""জাতীয় সংগীত"" এ যেন এক জাদুকরী একটা সংগীত, যতই শুনি ততই ভালো লাগে, আরও শুনতে মন চায়। একমাত্র এই সংগীতটা শুনলেই বুকের মধ্যে কেমন করে উঠে, পুরো শরীরের লোম দাড়িয়ে যায়, কোনো এক অজানা শিহরণ ঢেউ খেলে যায় পুরো শরীরে।",No
"কি অমায়িক, শুনলে যে চোখে পানি চলে আসে !  জয় বাংলা !",No
আমাদের দেশটা কতো সুন্দর। ,No
পাগল করা দৃশ্য আর তেমনই তার সূর..,No
হে আল্লাহ আমার দেশকে তুমি আরো সমৃদ্ধ ও ঐশ্বর্য প্রদান কর।,No
আমার দেশকে ভালোবাসি।নিজের কাজটা ঠিক ভাবে করতে চাই,No
"মা তোর মুখের বাণী আমার কানে লাগে সুধার মতন""..... এই সুরটি তা প্রমাণ করে দিলো",No
জীবনের শেষ নিঃশ্বাস পর্যন্ত আমি যেন আমি এই মাটিকে আঁকড়ে ধরে থাকতে পারি। আমার জন্মভূমি আমার বাংলাদেশ ,No
অনেক ধন্যবাদ আপনাকে। এত সুন্দর করে দেশ টাকে উপস্থাপন করার জন্য  নিজের অজান্তে চোখের কোনে পানি চলে আসলো । বিজয় দিবসের শুভেচ্ছা । বিজয়ের ৫০ বছর,No
নিজের অজান্তেই কেঁদে ফেলেছি  শ্যামল সবুজ অপরূপ সৌন্দর্য আমার সোনার বাংলাদেশ ,No
অসংখ্য ধন্যবাদ  বিজয়ের ৫০ বছর উপলক্ষে বাংলাদেশের প্রকৃতি এতো সুন্দরভাবে তুলে ধরার জন্য। ,No
"ভালোবাসা ও আবেগে চোখে পানি ধরে রাখতে পারিনি। নিজের মাতৃভূমি, প্রিয় স্বদেশকে বলতে ইচ্ছে করছিল অনেক দেয়া বাকি তোমায়। অনেক ঋণী করেছো আমাদের। ",No
প্রতিটা টান শরিলের লোম দাঁড় করিয়ে দিচ্ছে  আমার সোনার বাংলা আমি তোমায়  ভালোবাসি,No
"অসাধারণ , অপরূপ, বাকরুদ্ধ। চমৎকার দৃশ্যায়নের সাথে অপূর্ব অর্কেস্ট্রা ",No
এই বাংলার আকাশ  বাতাস আমার অস্তিত্বের স্বরূপ,No
আমি আমার দেশকে ভীষণ ভালোবাসি ,No
অসম্ভব সুন্দর,No
আমার বাংলাদেশ আমার গর্ব,No
"অমর উক্তি — ❝ আমার সোনার বাংলা, আমি তোমায় ভালোবাসি ❞।",No
"দেশের এই গ্রাম বাংলার বেপার গুলো ভাবতেই ভাল্লাগে, যতখন পর্যন্ত বর্তমান অবস্থার কথা মাথায় না আসে। ভাবতেই ভালো লাগে কতই না সুন্দর সান্তির দেশ থাকতো সবাই যদি চাইতো",No
শরীরে কাঁটা দিয়ে ওঠে  অসাধারণ অসাধারণ অসাধারণ!,No
অসাধারণ. বার বার মুগ্ধ করছে,No
এই সুর শুনে গাইতে ইচ্ছা করে,No
এই দেশ নিয়ে আমাদের অভিযোগের কোন শেষ নেই।  কিন্তু দিন শেষে এই বাংলাই আমাদের ঠাই ।,No
"দেশের প্রতি এতো হতাশা নিয়েও ভালোবাসা জানাই, ধন্য আমি মাগো জন্মেছি এই দেশে",No
"আহ!!! আমার প্রানের বাংলা, আমাদের সবার অস্তিত্বের বাংলাদেশ। এমন একটি মাতৃভূমি কে ভালো না বেসে কি উপায় আছে? এই প্রিয় স্বদেশ কে ভালোবেসে মরেও যে পরম শান্তি।",No
"আমাদের জাতীয় সংগীত, আমাদের অহংকার",No
এই বাংলার আকাশ বাতাস পîকৃতি নদী নালা এই সব কিছু নিয়েই আমাদের সোনার বাংলা ,No
অন্তর দিয়ে শুনলাম।আর আমার অন্তরকে সম্পুর্ণ ছুয়ে দিয়েছে।,No
"আহা কি মধুর কথা,, “আমার সোনার বাংলা আমি তোমায় ভালোবাসি....!!!""",No
"এক কথায় অসাধারন। শোনার সাথে সাথে কলিজাটা পুরা ঠান্ডা হয়ে গেলো, আর মাথাটা পুরাই হাল্কা হয়ে গেলো।",No
অতি চমৎকার। মিউজিক এবং ভিডিওর পিছনে যারা কাজ করেছেন তাঁদের স্যালুট ও অভিবাদন।,No
"অসাধারণ,  দেশকে পরিপূর্ণ ভাবে তুলে ধরা হয়েছে।",No
"বাংলার মুখ আমি দেখিয়াছি, তাই আমি পৃথিবীর রূপ খুঁজিতে যাই না আর। ভিডিওতে এই কথার যথার্থতা ফুটে উঠেছে। ",No
সুর ও দৃশ্যপট অনেক সুন্দর হয়েছে.!,No
পোস্ট দেখে দেখতে আসলাম।অসাধারণ ,No
"বিজয়ের সুবর্ণজয়ন্তীর সেরা উপহার, স্মরণীয় হয়ে থাকবে চিরকাল।",No
"দেশের বাইরে থেকে শুনি,  আর কল্পনায় হারিয়ে যাই  সেই ছোটবেলার বৃষ্টি,  সেই কাগজের  নৌকা,  বুকে এক মধুর যন্ত্রনা জাগায়,  আর হয়তো আসবেনা ফিরে সেইদিন,  তবুও ভালবাসি বাংলাদেশ ",No
অসংখ্য ধন্যবাদ আপা আমাদের সোনার বাংলাকে এতো।সুন্দর করে তুলে ধরার জন্য,No
আহা! কী সুন্দর দেশ আমার!!!... শ্রুতিমধুর আ-মরি বাংলা ভাষা!!!,No
"প্রত্যেকবার শুনার সময় মনে হচ্ছিল যেনো শেষ না হয় শুনতেই থাকি,আর শোনার পর মনের অজান্তেই চোখ থেকে পানি গড়িয়ে পড়লো।",No
অনেক সুন্দর হয়েছে  শুনলেই মনে প্রশান্তি চলে আসে,No
"জাতীয় সংগীত মানে আবেগ,অনুভূতি",No
"অনেক অনেক ধন্যবাদ আপনাকে  সুস্মিতা ম্যাডাম,,, এমন একটি দামি উপহার আমাদের বাঙ্গালীদের কে দেওয়ার জন্য",No
"আহ কি মায়া ভালোবাসা, অন্তরটা জুড়িয়ে যায় ",No
সিনেগল্প থেকে রিভিউ শুনে দেখতে আসলাম,No
এ এক মধুর ধ্বনি,No
ধন্যবাদ আপনাকে ও এই কাজের সাথে জড়িত সকলকে।,No
সত্যিই অসাধারণ।ভাষায় বর্ণনাতীত।আমাদের জাতীয় সংগীত।,No
দূর করে দাও সব দুঃখ,No
"""আমার সোনার বাংলা,আমি তোমায় ভালোবাসি""- গাঁয়ের লোমগুলো দাঁড়িয়ে গেলো",No
"সিনেমাটোগ্রাফি,কালার গ্রেডিং,লোকেশন,মিউজিক পুরা জমে ক্ষীর!",No
এই বাংলাদেশ নিয়ে অভিযোগের শেষ নেই তারপরে ও দিনশেষে এই বাংলাদেশ‌ই আমার ঠাঁই,No
শুনলে আবেগে বুক ভরে উঠে. ,No
"""সিনেগল্প"" তে রিভিউ দেখে এইখানে শুনতে আসছি... অসাধারণ ",No
অপূর্ব,No
অসাধারণ! শিল্পীর এই উদ্যোগকে সাধুবাদ জানাই।,No
অসাধারণ আমার সোনার বাংলা আমি তোমায় ভালোবাসি  আমি নিজে নিজ খালি কন্ঠে গেয়ে কভার করছি আলহামদুলিল্লাহ,No
আর এমন ভাবে আমাদের দেশের সুন্দর্য এক সাথে তুলে ধরার জন্য বিশেষ ধন্যবাদ,No
আমার সোনার বাংলা আমি তোমায় ভালোবাসি… শুনে চোখে পানি চলে আসলো …,No
সবাইকে বিজয় দিবসের রক্তিম শুভেচ্ছা।,No
আল্লাহ্ আমাদের সম্ভাবনাময় উত্তরবঙ্গকে এগিয়ে নিয়ে যাও,No
ধন্যবাদ আপু জাতীয় সঙ্গীতকে এত সুন্দরভাবে রূপ দেওয়ার জন্য ,No
সত্যিই আমাদের দেশ টা কি অপরুপ সুন্দর,No
এটি যদি সকল রাজনীতিকদের হৃদয় স্পর্শ করতো তাহলে এদেশ এতোদিনে সত্যি সত্যিই সোনার বাংলা'য় পরিণত হতো।,No
"এতো সুন্দর দেশ, এতো পরিশ্রমী একটা জাতি আমরা, এতো সমৃদ্ধ সাহিত্য, সংস্কৃতি, সভ্যতা।",No
শুনতে শুনতে শরীরের লোম গুলো দাঁড়িয়ে গেলো..আর মনের অজান্তেই চোখে পানি চলে এলো,No
"মনের ভিতর কেমন একটা অদ্ভুত সুন্দর অনুভূতি হচ্ছিল, গায়ে কাঁটা দিয়ে উঠছিলো।",No
আল্লাহ পরিশ্রমী জাতিকে ফলাফল দেন।,No
বর্ননাতীত সুন্দর হয়েছে।,No
জাতীয় সংগীত শুনলে চোখে পানি চলে আসে৷ আমি আমার দেশকে খুব ভালোবাসি,No
প্রারম্ভে সুরে কিঞ্চিৎ অসামঞ্জস্য হলেও পূর্ণাঙ্গ মিউজিকটি সত্যিই সকল বাংলাদেশীর হৃদয়স্পর্শী। ,No
"আমার দেশ, আমাদের দেশ। হয়তো ইউটোপিয়া নয় কিন্তু তাও আমার/আমাদের।",No
"স্যলুট, অর্কেস্ট্রা দলকে। স্বাধীনতার ৫০ বছরে সেরা উপহার দেওয়ার জন্য। অসাধারণ.........",No
"এই পতাকার ছায়াতলে শেষ নিঃশ্বাস ত্যাগই হোক আামাদের  প্রকৃত সুখ, এগিয়ে যাও বাংলাদেশ।",No
ভালোবাসি প্রিয় দেশ।  না চাইতেও খুশিতে চোখ ছলছল করতে বাধ্য,No
আমি বাঙ্গালি বাংলা আমার গর্ব!! যতবার ভাবি ততবার মুগ্ধ হই বাংলার মোহে।,No
এই ওরকেস্ট্রা ভার্সন শুনে গায়ের সবগুলা লোমকুপ দাঁড়িয়ে গিয়েছিল!!!,No
শ্রদ্ধা জানাই আমাদের দেশের শহীদদেরকে যাদের কারনে আজ আমরা এত সুন্দর একটা দেশ পেয়েছি,No
শুনলেই মনটা শান্ত হয়ে যায়! ভালবাসি বাংলাদেশ।,No
জাতীয় সংগীতের সুরে শরীরের লোম দাঁড়ালেই না তবে আসল অনুভুতিটা পাওয়া যায়। এতোদিন যেটার অভাব মনে হচ্ছিলো সেটা পেয়ে গেছি।,No
"শুনতে শুনতে আপনাআপনি চোখ বুজে আসবে, ভিজে আসবে। আবার রোম দাঁড়িয়ে যাবে। অনেক আবেগ নিয়ে করা হয়েছে।  লুপে বারবার শুনছি।",No
প্রাণটা ভরে গেছে,No
"ভালোবাসি বাংলাদেশকে, ভালোবাসি জাতীয় সংগীতকে! আমার দেশ মাথা উচু করে বিশ্বে এগিয়ে যাক এইটাই কামনা! ",No
অসাধারণ অনুভূতি হচ্ছিল যখন প্রথমবার শুনলাম। ,No
গায়ের লোম দাঁড়িয়ে গেল,No
"এই জাতীয় সংগীত শুনলে গায়ের লোম দাঁড়িয়ে যায়। আমার মাতৃভূমি, আমার অহংকার। ",No
দেশকে নিয়ে হাজারো অভিযোগ থাকলেও দিন শেষে এটি আমাদেরই দেশ,No
সকল সকল স্কুলের অ্যাসেম্বলিতে আমরা সবাই মিলে জাতীয় সংগীত গাইতাম দিন গুলো খুব সুন্দর ছিল,No
"এই এক সুর শুনলেই শরীরের লোম দাঁড়িয়ে যায়,চোখ ছলছল হয় উঠে,লাখো মানুষের আত্মত্যাগের কথা মনে পড়ে, মাতৃভূমির প্রতি ভালোবাসা জন্মে",No
অনন্য,No
"এই জাতীয় সঙ্গীতটা শুনলে না,,  মনটা বলে ওঠে যে -আমি বাঙ্গালী বিশেষ করে বাংলাদেশী হয়ে সত্যিই গর্বিত । এটা যতবারই শুনি আমার শরীর কেমন যেন শিউরে ওঠে । ",No
অপূর্ব! বিজয়ের মাসে বাংলাদেশের জন্য সবচেয়ে সুন্দর উপহার।,No
ভালোবাসার আরেক নাম প্রাণের বাংলাদেশ  হয়তো যুগ যুগ ধরে বাঙালির হৃদয়ে বেঁচে থাকবে জাতীয় সংগীত ,No
অসম্ভব ভালো লাগার মত কাজ ছিল ধন্যবাদ অক্লান্ত পরিশ্রম করে এই ভার্সন এর জাতীয় সংগীত ও অসাধারণ বাংলার চিত্র তুলে ধরার জন্য।।।।,No
"কত অশ্রু, কত রক্ত  কত স্বপ্ন, কত ভালোবাসা, আমার জন্মভূমি, আমার মাতৃভাষা",No
সুরটা শুনে স্কুল জীবনের কথা মনে পড়ে গেল,No
এইটা শুধু গান না এইটা সকল বাঙালির আবেগ মাখানো ও ভালোবাসার একটি গান।,No
মাশা-আল্লাহ। মাশা-আল্লাহ। স্রষ্টার অপরুপ সৃষ্টির মাঝে শোভা পেয়েছে শিল্পীর অত্যন্ত সুন্দর শিল্পকর্ম। ,No
"আমি গর্বিত আমি বাঙ্গালী, আমি গর্বিত আমি এই বাংলায় জন্মগ্রহণ করেছি।",No
ধন্যবাদ ম্যাডাম বিশ্বের মঞ্চে আমাদের দেশকে এত সুন্দর ভাবে তুলে ধরার জন্য। অসাধারণ সুন্দর হয়েছে ,No
এক কথায় অসাধারণ।লক্ষ্য লক্ষ্য মানুষের আত্মত্যাগের বিনিময়ে আমাদের এই দেশ স্বাধীন হয়েছে।বিশ্বের বুকে মাথা উঁচু করে দাঁড়াবে আমাদের এই বাংলাদেশ,No
"আমি জানি না কেন কিন্তু আমি কাঁদতেছি,এইটা শোনার পরে চোখে থেকে নিজের অজান্তেই অশ্রু ঝরে পরল।ভালবাসি বাংলাকে; এই বাংলার আকাশ,বাতাস,প্রকৃতি আমার অস্তিত্ব স্বরুপ।",No
"এক কথায় অনন্য!!! হাজারটা অভিযোগের মাঝেও এটা শোনার সময় ঠিকই উপলব্ধি হয় যে, আসলেই আমার মাতৃভূমিকে কতটা ভালোবাসি!",No
"ছোটবেলা স্কলে যখন গাইতাম এর কোন মানেই বোঝতাম না,আর এখন চোখে পানি চলে আসে",No
অগ্রিম বিজয় দিবসের শুভেচ্ছা বাংলা জননী !!!! তোমার  ৩০ লাখের মর্যাদা আজও আমরা দিতে পারি নাই!,No
"নাহ!!! রক্তে এখনো দেশাত্মবোধ আছে আমার, দেশপ্রেম হারায়ে যায় নাই।",No
আমার দেশের জাতীয় সংগীত,No
কত্ত সুন্দর আমার দেশের জাতীয় সংগীত এর সুর,No
সত্যি চোখ ভিজে গেছে ,No
চিরদিনের লাল সবুজের বাংলা,No
মাহি তুই খানকির পোলা তোর বাপ মাগির পোলা শালা দালাল ,Yes
সড়ক মহাসড়কের মহা দুর্ণীতির মহানায়ক অক্সিজেন কাদের কোরআনের পরিবর্তে মহাভারত পাঠের প্রচারণার জন্য মহা পুরষ্কার পেয়েছেন এখন সালমান এফ রহমানের মত নতুন নতুন দরবেশী নসিহাতনামা পেশ করবেন ,Yes
আচ্ছা এই 72 হুরেরা কি বেশ্যাবৃত্তি করে ,Yes
এই কাংকির ছেলে রাজাকার সবাই তো কুত্তালীগ করে এই কথা তুই জানিস না,Yes
হালার গরের হালা বাবা খোর,Yes
বাংলায় ভোদা বললে দোষ আর ইংলিশ এ গুদ শুনতে খুব ভালো লাগে একেবারে মন ভইরা সোনা খারায়া যায় না ,Yes
খানকির পোলারা হুশিয়ারি মারা ও আগামী কাল বাছবি কিনা সেকতা বলতো পারনা,Yes
ভারত আমার শত্রু কারন তারা হিন্দু মুসলিম দের উপর অতাচার করছে  ,Yes
কিসের সংবিধান আমার সোনার সংবিধান এই আওয়ামি হায়নার সংবিধান কে মানে  আর খালেদা জিয়া যদি এইবার আন্দোলনের ডাক না ,Yes
 ভারতের সুপার ইস্টার মিস্টার মুদি আঙ্কেল আর বাংলাদেশের সুপার ইস্টার   হাসিনা খালেদা জিয়া এরসাদ কে ,Yes
নয়াদিগন্ত দেখছি উলোট পালোট নিউজ দেয়  ভারতের ধারেকাছেও নেই পাকিস্তান  শুধু নয়াদিগন্তের হৃদয়ে পাকিস্তান ছিঃ নয়াদিগন্ত ছিঃ রাজাকারের পেপার নয়াদিগন্ত   ,Yes
রাজাকার হাসিনার বেয়াই চেতনার ঠেলায় এখন ভুয়া মুক্তিযোদ্ধা হয়েগেছে ,Yes
যুদ্ধ চাই না কিন্তু ভারতকে সমর্থন করি এই দুইটি ব্যাকই আপনার কোনটা সত্য ,Yes
ভারত ছাড়া শুয়রের দল গুলর ইনকাম করার জায়গা নেই  যা না পাকিস্থান চীন এ যা গাড় মেরে বাড়ী পাঠাবে ভিকারি র দল,Yes
রনি মাদারচোদ টাইপ লোক ,Yes
সেনা  বাংলার সাহসী সন্তান  দেশরত্ন শেখ হাসিনার সাহসী কর্মী সবাইকে বলছি অাগে ইতিহাস জানুন  বাংলার মাটিতে রাজাকাদের ঠাঁই হবে না রাজাকাররা সাবধান ,Yes
হাঙ্গরচুদা,Yes
পরিচয়ের আগেই চুদে দিলো  ,Yes
মাগির বিশাল বড় বাসের দরকার ভুল বললাম নাকি আরে তারে গুলিস্তানে রাস্তার মোড়ে উলঙ্গ করে ঘোড়ামারা উচিত,Yes
ভালোবাসা কী ভুল  নাকি লাল গোলাপ ফুল  ভালোবাসা কী সুখ  নাকী বেদনা ভরা দুখ ভালোবাসা কী হাসি  নাকী গলার ফাসি তবু মন বলে তোমায় ভালোবাসি  দুঃখী ,Yes
ভারতের বিরুদ্ধে হলে এটা দালাল আর ভারতের পক্ষে হলে গুড সংবাদ ,Yes
টাকা আদায়ের পর এদের ফাসি দেয়াই বাঞ্চনীয়,Yes
ফাসি চাই ওদের ফাসির আইন করা হোক ঔষধ ভেজাল মেশায় সরকারের কাছে আবেদন জানানো দরকার,Yes
একেই বলে মালাউন মারকা কথা বার্তা,Yes
বাঙালি হিন্দুরাই ভীতু চোদা তাই নুনু কাঁটা পিসলামিক শুয়োরগুলো ওদের অত্যাচার করে,Yes
ভারত থেকে আমাদেরও আমদানি বন্ধ করা উচিত ,Yes
ভারত নিজেরাই খাইতে পায়না আমাদের দেশে বিনিওগ কি করবে,Yes
খানকি মাগিরে পেলে কুচি কুচি করে কেটে কুত্তা দিয়ে খাওয়াতাম,Yes
ভাই বাংলাদেশের যে এত্ত শিল্পীর উদয় হইছে আজ জানলাম,Yes
সংখ্যালঘুদের জন্য প্রতিবাদ না করে রোহিঙ্গাদের জন্য চিল্লা পাল্লা করে সে হইল রাজাকারের দুধভাই  ,Yes
ইংল্যান্ডের ভিসা ভারতিয়দের বন্দ করে দেওয়া উচিত ,Yes
জাকির নালায়েক ভয়ে পালিয়েছে  ভারতে এলে শুয়োর টার বিচি কেটে দেওয়া হবে,Yes
এই মেয়ে টাকে পাছায় বারি দেয়া দরকার ছিলো ,Yes
রাজের বাচ্ছা ফেরাউন হিনুর পুত মালাউন নারকের আগুন,Yes
এই মাগির তোর ভোদায় এসিড দিমু আমি আমি ছাএলীগ নেতা ,Yes
যে কমেন্টের রিপ্লাই দিয়া সৌভিকের চামচামি করবে তার মাকে আমি কন্ডম ছাড়া চুদি,Yes
সেও রাজাকারের কমান্ডার এটাই এখন ছলছে কিছুই করার নেই বিচারের মালিক,Yes
হয়ত মন্ত্রি মহুদয় এই সব কারনেই মালাউনের বাচ্চা বলেছে ,Yes
যারা দেশ ও মানুষের জন্য রাজনিতি করে তারা কোন তারেক জিয়ার মত হবে না,Yes
এই সালারে ফাসি দেয়া দরকার,Yes
সব গুলা মাদার চুদ ,Yes
ভারতীয় মাদার চুদ গোরে খালি পুটকি মারার দরকার এদেরকে আবার কিসের সাহায্য করছে সরকার   সরকার কিছু খাইছে নাকি মালাউনরা দুনিয়ার সবচেয়ে নিকূষ্ট জাতি,Yes
ভারত সরকারকে চরম মূল্য দিতে হবে,Yes
তিমিচুদা,Yes
ভারত মানে হচ্ছে সার্থপর,Yes
এই মাদারচোদ ভালো কোরে দেক শুয়োর ,Yes
ইতিহাস সাক্ষি আছে ভারত কতবার চুদে খাল করেছে পাকিস্থান কে,Yes
এগের না চুদে ভাত খাওয়া যাই ,Yes
